Sat Sep 22 00:09:38 CDT 2018 waiting for Settings
Sat Sep 22 00:09:38 CDT 2018 No match Settings
Sat Sep 22 00:09:41 CDT 2018 waiting for Settings
Sat Sep 22 00:09:41 CDT 2018 No match Settings
Sat Sep 22 00:09:44 CDT 2018 waiting for Settings
Sat Sep 22 00:09:44 CDT 2018 No match Settings
Sat Sep 22 00:09:47 CDT 2018 waiting for Settings
Sat Sep 22 00:09:47 CDT 2018 No match Settings
Sat Sep 22 00:09:51 CDT 2018 Act Settings Connected
Sat Sep 22 00:09:54 CDT 2018 waiting for SCID
Sat Sep 22 00:09:54 CDT 2018 No match SCID
Sat Sep 22 00:09:57 CDT 2018 waiting for SCID
Sat Sep 22 00:09:57 CDT 2018 No match SCID
Sat Sep 22 00:10:00 CDT 2018 waiting for SCID
Sat Sep 22 00:10:00 CDT 2018 No match SCID
Sat Sep 22 00:10:03 CDT 2018 waiting for SCID
Sat Sep 22 00:10:03 CDT 2018 No match SCID
Sat Sep 22 00:10:06 CDT 2018 waiting for SCID
Sat Sep 22 00:10:06 CDT 2018 No match SCID
Sat Sep 22 00:10:09 CDT 2018 waiting for SCID
Sat Sep 22 00:10:09 CDT 2018 No match SCID
Sat Sep 22 00:10:12 CDT 2018 waiting for SCID
Sat Sep 22 00:10:12 CDT 2018 No match SCID
Sat Sep 22 00:10:15 CDT 2018 waiting for SCID
Sat Sep 22 00:10:15 CDT 2018 No match SCID
Sat Sep 22 00:10:18 CDT 2018 waiting for SCID
Sat Sep 22 00:10:18 CDT 2018 No match SCID
Sat Sep 22 00:10:21 CDT 2018 waiting for SCID
Sat Sep 22 00:10:21 CDT 2018 No match SCID
Sat Sep 22 00:10:24 CDT 2018 waiting for SCID
Sat Sep 22 00:10:24 CDT 2018 No match SCID
Sat Sep 22 00:10:27 CDT 2018 waiting for SCID
Sat Sep 22 00:10:27 CDT 2018 No match SCID
Sat Sep 22 00:10:30 CDT 2018 waiting for SCID
Sat Sep 22 00:10:30 CDT 2018 No match SCID
Sat Sep 22 00:10:33 CDT 2018 waiting for SCID
Sat Sep 22 00:10:33 CDT 2018 No match SCID
Sat Sep 22 00:10:36 CDT 2018 waiting for SCID
Sat Sep 22 00:10:36 CDT 2018 No match SCID
Sat Sep 22 00:10:40 CDT 2018 Act SCID Logout
Sat Sep 22 00:10:43 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:43 CDT 2018 No match SCIDLO
Sat Sep 22 00:10:46 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:46 CDT 2018 No match SCIDLO
Sat Sep 22 00:10:49 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:49 CDT 2018 No match SCIDLO
Sat Sep 22 00:10:52 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:52 CDT 2018 No match SCIDLO
Sat Sep 22 00:10:55 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:55 CDT 2018 No match SCIDLO
Sat Sep 22 00:10:58 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:10:58 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:01 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:01 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:04 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:04 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:07 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:07 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:10 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:10 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:13 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:13 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:16 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:16 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:19 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:19 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:22 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:22 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:25 CDT 2018 waiting for SCIDLO
Sat Sep 22 00:11:25 CDT 2018 No match SCIDLO
Sat Sep 22 00:11:29 CDT 2018 Act SCIDLO Confirm
Sat Sep 22 00:11:35 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:11:35 CDT 2018 No match SCIDCFS
Sat Sep 22 00:11:38 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:11:38 CDT 2018 No match SCIDCFS
Sat Sep 22 00:11:42 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:11:42 CDT 2018 No match SCIDCFS
Sat Sep 22 00:11:45 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:11:45 CDT 2018 No match SCIDCFS
Sat Sep 22 00:11:48 CDT 2018 waiting for SCIDCFS
Sat Sep 22 00:11:48 CDT 2018 Matched SCIDCFS
Sat Sep 22 00:11:52 CDT 2018 waiting for Home
Sat Sep 22 00:11:52 CDT 2018 No match Home
Sat Sep 22 00:11:56 CDT 2018 waiting for Home
Sat Sep 22 00:11:56 CDT 2018 No match Home
Sat Sep 22 00:12:01 CDT 2018 waiting for Home
Sat Sep 22 00:12:01 CDT 2018 No match Home
Sat Sep 22 00:12:05 CDT 2018 waiting for Home
Sat Sep 22 00:12:05 CDT 2018 No match Home
Sat Sep 22 00:12:09 CDT 2018 waiting for Home
Sat Sep 22 00:12:09 CDT 2018 No match Home
Sat Sep 22 00:12:13 CDT 2018 waiting for Home
Sat Sep 22 00:12:13 CDT 2018 No match Home
Sat Sep 22 00:12:17 CDT 2018 waiting for Home
Sat Sep 22 00:12:17 CDT 2018 No match Home
Sat Sep 22 00:12:21 CDT 2018 waiting for Home
Sat Sep 22 00:12:21 CDT 2018 No match Home
Sat Sep 22 00:12:25 CDT 2018 waiting for Home
Sat Sep 22 00:12:25 CDT 2018 No match Home
Sat Sep 22 00:12:29 CDT 2018 waiting for Home
Sat Sep 22 00:12:29 CDT 2018 No match Home
Sat Sep 22 00:33:32 CDT 2018 no coc
Sat Sep 22 00:33:54 CDT 2018 waiting for Home
Sat Sep 22 00:33:54 CDT 2018 No match Home
Sat Sep 22 00:33:54 CDT 2018 skip check BuilderHome
Sat Sep 22 00:33:59 CDT 2018 waiting for Home
Sat Sep 22 00:33:59 CDT 2018 No match Home
Sat Sep 22 00:33:59 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:04 CDT 2018 waiting for Home
Sat Sep 22 00:34:04 CDT 2018 No match Home
Sat Sep 22 00:34:04 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:08 CDT 2018 waiting for Home
Sat Sep 22 00:34:08 CDT 2018 No match Home
Sat Sep 22 00:34:08 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:13 CDT 2018 waiting for Home
Sat Sep 22 00:34:13 CDT 2018 No match Home
Sat Sep 22 00:34:13 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:17 CDT 2018 waiting for Home
Sat Sep 22 00:34:17 CDT 2018 No match Home
Sat Sep 22 00:34:17 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:22 CDT 2018 waiting for Home
Sat Sep 22 00:34:22 CDT 2018 No match Home
Sat Sep 22 00:34:22 CDT 2018 skip check BuilderHome
Sat Sep 22 00:34:26 CDT 2018 waiting for Home
Sat Sep 22 00:34:26 CDT 2018 No match Home
Sat Sep 22 00:34:26 CDT 2018 skip check BuilderHome
